Title,Accession ID,Description,GEO
CD27hiCD38hi plasmablasts are activated B cells of mixed origin with distinct function [10X Genomics],PRJNA722299;,"Using 10X Genomics we identified B cells with a plasmablasts signature (based on CD38, CD27 and PRDM1 expression) and extract these cells to assign them to our Smart-seq analysis run in parallel.
Overall design: Gene expression in plasmablasts from 2 dengue-infected patients (1 primary and 1 secondary).
**Submitter declares that the raw data are being deposited in the European Genome-phenome Archive (EGA ID EGAS00001005258) due to patient privacy concerns.**Less...",GSE172179
CD27hiCD38hi plasmablasts are activated B cells of mixed origin with distinct function [Smart-seq],PRJNA722297;,"Using Smart-seq2 single cell sequencing we reported that plasmablasts from dengue-infected individuals separate into 4 distinct clusters with distinct function.
Overall design: DEG analysis from single-cell sorted Plasmablasts (CD19+IgD-CD27hiCD38hi) from 7 patients with primary or secondary dengue infection.
**Submitter declares that the raw data were deposited in the European Genome-phenome Archive (EGA ID EGAS00001005258) due to patient privacy concerns.**Less...",GSE172176
A549 trasncriptome after Dengue virus NS5 WT and NS5 mutants transfection,PRJNA720413,No description available,
Immunophenotyping and transcriptional profiling of human plasmablasts in dengue.,PRJNA719802;,"Plasmablats are the key cell type involved in Antibody (Ab) production that massively expand in dengue. However, little is known about their molecular profile in dengue . We investigated the transcriptional profiles of plasmablasts from dengue patients. We found that in addition to Ab secretion, they overexpress several molecules related to endothelial interactions, homing to skin or mucosal tisues.  Additionally, there are hints for potential involvement in processes such as angiogenesis, leukocyte extravasation and vascular permeability. This is the fisrt detailed transcriptional analysis of plasmablast from dengue patients in India. We use flow cytometry to phenotype these cells and bulk RNA sequencing to analyze their transcriptinal profiles.
Overall design: Expression analysis of CD19+ CD20+ IgD+ CD71- CD27- CD38- naïve B cells (N) and CD19+/int CD20- IgD- CD71+ CD27+ CD38+ plasmablasts (PB) sorted from Dengue patients.Less...",GSE171487
Targeting glycolysis reduces infection and dampens inflammation in a host-directed therapy for dengue,PRJNA719071;,No description available,GSE171290
Specific Interaction of DDX6 with an RNA Hairpin in the 3?-UTR of the Dengue Genome Mediates G1 Phase Arrest,PRJNA716981;,"The extent to which viral genomic RNAs interact with host factors and contribute to host response and disease pathogenesis is not well known. Here, we report that the human RNA helicase DDX6 specifically binds to the viral most conserved RNA hairpin in the A3 element in the dengue 3´-UTR, with nanomolar affinities. DDX6 CLIP confirmed the interaction in HuH-7 cells infected by dengue virus serotype 2. This interaction requires three conserved residues, Lys307, Lys367, and Arg369, as well as the unstructured extension in the C-terminal domain of DDX6. Interestingly, alanine substitution of these three basic residues resulted in RNA-independent ATPase activity, suggesting a mechanism by which RNA-binding and ATPase activities are coupled in DEAD-box helicases. Furthermore, we applied a cross-omics gene enrichment approach to suggest that DDX6 is functionally related to cell cycle regulation and viral pathogenicity. Indeed, infected cells exhibited cell cycle arrest in G1 phase and a decrease in the early S phase. Exogeneous expression of intact DDX6, but not A3-binding-deficient mutants, alleviated these effects by rescue of the DNA pre-initiation complex expression. Disruption of the DDX6-binding site was found in dengue and Zika live-attenuated vaccine strains. Our results suggested that dengue virus has evolved an RNA aptamer against DDX6 to alter host cell states, and defined DDX6 as a new regulator of G1/S transition.
Overall design: Next generation sequencing of DENV-2 (16681) infected and uninfected HuH-7 cells in the presence/absence of exogeneous DDX6 expression, in duplicate, using BGISEQ-500RSLess...",GSE169526
RNAseq analysis of blood from respiratory viruses-infected patients and healthy controls,PRJNA660611;,"The objective of this study was to understand the shared and unique elements of the host transcriptional response to different viral pathogens. We identified 162 subjects in the US and Sri Lanka with infections due to influenza, enterovirus/rhinovirus, human metapneumovirus, dengue virus, cytomegalovirus, Epstein Barr Virus, or adenovirus. Our dataset allowed us to identify common pathways at the molecular level as well as virus-specific differences in the host immune response. Conserved elements of the host response to these viral infections high-lighted the importance of interferon pathway activation. However, the magnitude of the re-sponses varied between pathogens. We also identified virus-specific responses to influenza, enterovirus/rhinovirus, and dengue infections.
Overall design: Peripheral blood was collected from patients, RNA was isolated and sequenced.Less...",GSE157240
Innate Lymphoid Cells Activation and Transcriptomic Changes in Response to Human Dengue Infection,PRJNA655190;,"Background: Dengue virus (DENV) infection has a global impact on public health. The clinical outcomes (of DENV) can vary from a flu-like illness called dengue fever (DF), to a more severe form, known as dengue hemorrhagic fever (DHF). The underlying innate immune mechanisms leading to protective or detrimental outcomes have not been fully elucidated. Helper innate lymphoid cells (hILCs), an innate lymphocyte recently discovered, functionally resemble T-helper cells and are important in inflammation and homeostasis. However, the role of hILCs in DENV infection had been unexplored.
Methods: We performed flow cytometry to investigate the frequency and phenotype of hILCs in peripheral blood mononuclear cells from DENV-infected patients of different disease severities (DF and DHF), and at different phases (febrile and convalescence) of infection. Intracellular cytokine staining of hILCs from DF and DHF were also evaluated by flow cytometry after ex vivo stimulation. Further, the hILCs were sorted and subjected to transcriptome analysis using RNA sequencing. Differential gene expression analysis was performed to compare the febrile and convalescent phase samples in DF and DHF. Selected differentially expressed genes were then validated by quantitative PCR.
Results: Phenotypic analysis showed marked activation of all three hILC subsets during the febrile phase as shown by higher CD69 expression when compared to paired convalescent samples, although the frequency of hILCs remained unchanged. Upon ex vivo stimulation, hILCs from febrile phase DHF produced significantly higher IFN-g and IL-4 when compared to those of DF. Transcriptomic analysis showed unique hILCs gene expression in DF and DHF, suggesting that divergent functions of hILCs may be associated with different disease severities. Differential gene expression analysis indicated that hILCs function both in cytokine secretion and cytotoxicity during the febrile phase of DENV infection.
Conclusions: Helper ILCs are activated in the febrile phase of DENV infection and display unique transcriptomic changes as well as cytokine production that correlate with severity. Targeting hILCs during early innate response to DENV might help shape subsequent immune responses and potentially lessen the disease severity in the future.
Overall design: RNA-seq of sorted ILCs from DENV infected patients with different severities (DF or DHF) in febrile phase of infection (one day before fever subsided) and convalescent phase (two months after discharged from hospital)Less...",GSE155672
Temporally integrated single cell RNA sequencing analysis of controlled and natural DENV-1 infections,PRJNA646102;,"Controlled dengue human challenge studies present a unique opportunity to address many longstanding questions in the field of flavivirus biology. These fundamental questions include defining the early immunological signatures of infection, the host/environmental factors that impact disease severity, and the role of preexisting immunity on the development of symptomatic viral infection. However, while several controlled dengue human challenge studies have been performed and appear to clinically recapitulate may features of mild natural DENV infection, limited data are available on how the immunological and transcriptional response elicited by these attenuated challenge viruses compares to the profile associated with a natural, unattenuated DENV infection. To bridge this knowledge gap, we performed scRNAseq analysis on longitudinally collected PBMC samples obtained from 3 individuals (8 time points per subject) enrolled in the SUNY/WRAIR DENV-1 controlled human challenge study. In addition, 3 time points (two acute infection time points, one control time point) from two individuals experiencing a natural DENV-1 infection were analyzed and computationally integrated with the challenge model dataset. This temporally integrated dataset contains a total of 171,208 cells and 22 statistically distinct populations corresponding to all major anticipated leukocyte subsets. While all identified cell populations demonstrated significant and consistant perturbations in their transcriptional profile in response to either natural or experimental DENV infection, conventional monocytes respond most robustly to infection across all subjects and study groups from an unbiased transcriptional perspective. Using these data, core sets of genes that were consistently induced by either natural or experimental DENV were identified, and the overlap between the two arms of the study assessed.
Overall design: scRNAseq (10xGenomics Single Cell 5' v2 Reagents Kit) analysis was performed on unfractionated PBMC obtained from three DHIM-1 subjects (8 time points per subject), and two subjects with natural DENV-1 infections (3 time points per subject).Less...",GSE154386
Transcriptomic Similarities and Differences in Host Response between SARS-CoV-2 and Other Viral Infection,PRJNA639893;,No description available,GSE152641
Myeloid regulation signature persists after virus clearance in mild human primary dengue serotype 2 infection,PRJNA638819;,No description available,GSE152255
Role of circulating microRNAs in patients with dengue infection,PRJNA632945;,"miRNAs are found to be extremely stable in extracellular fluids of mammals, such as blood plasma, serum, etc. The expression profiles of these circulating miRNAs have immense potential for use as novel minimally invasive markers in monitoring Dengue diseases progression.
Overall design: Here Using high-throughput small RNA sequencing methods followed by in silico analysis, the levels of circulating miRNAs analysed between patients with uncomplicated dengue infection (DI, n=9), Dengue with a warning sign (DWS, n=14), and severe dengue (DS, n=16). We also used plasma from nine dengue patients followed–up at two-time points (Day ’0’ and Day ’5”) for small RNA sequencing.
The total_miRNA_count_low2up.txt (containing normalized miRNAs counts) is a follow-up study, comparing Dengue severe samples with 5 days followup.
The total_miRNA_count_up2low.txt (containing normalized miRNAs counts) is a follow-up study two, comparing Dengue infection samples with 5 days followup.Less...",GSE150623
Detection of DENV infected cells following natural dengue infection,PRJNA613039;,"Viable T cells (CD3+ CD19-) and B cells (CD3- CD19+) were sorted from PBMC samples obtained from 1 individual experiencing a natural secondary DENV infection. Single cell RNA sequencing analysis was performed on 3 time points
Overall design: Single cell RNA sequencing analysis of 3 time points from 1 subject experiencing a natural DENV infectionLess...",GSE147104
Whole blood RNA-seq from healthy adults after vaccination with a replication-competent tetravalent dengue vaccine,PRJNA611583;,No description available,GSE146658
Metabolites and gut microbial composition among leptospirosis patients,PRJNA608796,"The diagnosis of human leptospirosis diagnosis is challenging the disease has similar clinical presentations to other infectious diseases such as dengue and influenza. Current laboratory diagnostic tests for leptospirosis based on the detection of antigen, antibodies and DNA signatures are generally plagued by low sensitivity and specificity. Metabolomics and metagenomics have been suggested to be used as diagnostic tools for some infectious diseases. The revealing of fascinating changes between potential and expressed biochemical pathways detected in microbial communities can be achieved through the combination of both omics. In this study, we characterised the faecal and urine metabolomic profiles of leptospirosis patients. The faecal bacterial composition was elucidated using PacBio-based next-generation sequencing. Using Partial Least Square analysis of the urine and faeces metabolome, a significant separation between leptospirosis patients and healthy subjects was observed. Few metabolites were found to be overly abundant only in among leptospirosis patients. They were found to harbour significantly different bacterial composition as opposed to healthy subjects. A significantly higher number of Ruminococcus gnavus was detected among them and higher Enterobacter in the healthy subjects. To our best knowledge, this is the first report of human metabolomics and metagenomics using long 16S amplicon library approximate 1500bp for leptospirosis. The results from this study may help to further the understanding of human metabolic response and changes of gut microbial composition toward leptospiral infection, and also highlight a few candidates of significant metabolites and bacterial species which may have potential to be used as biomarkers for diagnostic purposes.Less...",
Profiling the effects of BPIFB3 and BPIFB6 knockdown on flavivirus infection,PRJNA606334,No description available,
Whole blood RNA-seq of pediatric cases of natural Dengue infection,PRJNA590999;,"The primary aim of this study was to characterize the transcriptomic changes between the acute and convalescent phase of natural Dengue infections in pediatric patients as observed in peripheral blood samples.
Overall design: 68 pediatric cases of natural Chikungunya infection were sampled for whole blood at two timepoints (1-5 and 14-30d post symptom onset). Two technical replicates were sequenced per blood sample.Less...",GSE140809
Human endothelial cells stimulated with dengue virus non-structural protein 1,PRJNA580464;,"we report the changes in the transcriptome of human umbilical vein endothelial cells (HUVECS) after exposure to a recombinant purified soluble form of dengue virus non-structural protein 1 (NS1)
Overall design: HUVECs in gelatin coated cell culture plates were mantained in growth media until confluent. The purified NS1 protein was then added to the plate wells for stimulation for 4 hrs in regular incubation conditions.Less...",GSE139603
Altered m6A Modification of Specific Cellular Transcripts Affects Flaviviridae Infection,PRJNA576915;,"The RNA modification N6-methyladenosine (m6A) can modulate mRNA fate and thus affect many biological processes. We analyzed m6A modification across the transcriptome following infection by dengue virus (DENV), Zika virus (ZIKV), West Nile virus (WNV), and hepatitis C virus (HCV). We found that infection by these viruses in the Flaviviridae family alters m6A modification of specific cellular transcripts, including RIOK3 and CIRBP. During viral infection, the addition of m6A to RIOK3 promotes its translation, while loss of m6A in CIRBP promotes alternative splicing. Importantly, we found that viral activation of innate immune sensing or the endoplasmic reticulum (ER) stress response contributes to the changes in m6A modification in RIOK3 and CIRBP, respectively. Further, several transcripts with infection-altered m6A profiles, including RIOK3 and CIRBP, encode proteins that influence DENV, ZIKV, and HCV infection. Overall, this work reveals that cellular signaling pathways activated during viral infection lead to alterations in m6A modification of host mRNAs to regulate infection.
Overall design: Study of m6A changes in cellular RNA from Huh7 cells following 4 biological replicates of innate immune activation (HCV PAMP transfection, 8 hpt) or ER stress (thapsigargin (TG) treatment, 16 hpt).Less...",GSE138730
Virus-Host Interactome Reveals the Unique Blockage of Host RNAi Machinery by the Zika Virus Capsid,PRJNA565978;,"The recent outbreaks of Zika virus (ZIKV) and its association with birth defects known as Congenital Zika Syndrome warrant investigation on the molecular processes related to its infection and pathogenesis. Among the flavivirus family, only ZIKV is linked to microcephaly as announced by World Health Organization, suggesting uniqueness of ZIKV infection compared to other members. By analyzing the ZIKV-host interactome, we found that the key microRNA (miRNA) processing enzyme Dicer was a leading target of ZIKV capsid protein in neural stem cells (NSCs), and its deficiency facilitated ZIKV infection. Mechanistically, ZIKV capsid can directly interact with Dicer and block its ribonuclease activity, dampening the production of host miRNAs that are essential for neurogenesis. Interestingly, this capsid-mediated immune evasion is specific to ZIKV because capsid proteins from other close flaviviruses, e.g., dengue, yellow fever and West Nile viruses, cannot bind to Dicer or inhibit its function. By molecular mapping, we defined a ZIKV capsid H41R mutant with loss of interaction to Dicer and no longer affecting its activity. More importantly, ZIKV H41R mutant exerted almost no impact on neurogenesis in vitro when expressed in NSCs compared to wild type capsid, and in utero infection of recombinant ZIKV-H41R mutant virus resulted in less inhibition on corticogenesis than wild-type ZIKV in mouse embryos. Interestingly, the epidemic ZIKV strain reinforces the capsid-Dicer interaction by two amino acid substitution compared to ancient Africa strain. Thus, our study demonstrated that capsid-dependent suppression of Dicer function is a unique determinant of ZIKV immune evasion and pathogenesis, which may unveil a new mechanism for ZIKV-mediated microcephaly.
Overall design: miRNA-seq of neural stem cells (NSCs) infected with ZKIV or ZKIV H41R or without infectionLess...",GSE137592
Effect of zinc chelation in Caco-2 cells,PRJNA560386;,"To identify the molecular pathways that are perturbed due to transient zinc chelation
Zinc is known to regulate the functions of about 10% of the human proteome and a large number of physiological processes that are zinc dependent have been identified and characterized under conditions of zinc deficiency and supplementation. As zinc homeostasis is closely linked to the normal functioning of both prokaryotic and eukaryotic cells, many pathogens are directly or indirectly affected by perturbations in zinc homeostasis. Dengue virus (DENV), a mosquito-borne, positive-strand RNA virus from the family Flaviviridae, has emerged as one of the major public health concerns in India and recent estimates suggest that over 60 million people globally get infected with DENV every year. The crystal structures of NS5 protein of DENV and West Nile virus have identified zinc binding site in RdRp domain and propose an important structural role for zinc ions in polymerase activity. Therefore, we investigated whether perturbation in intracellular zinc pools influence dengue infection. We utilized N,N,N’,N’-tetrakis(2-pyridinylmethyl)-1,2-ethanediamine (TPEN), a zinc-specific chelator, to mimic zinc-deficiency in cell culture models of infection and investigated the effect of zinc depletion on DENV life-cycle.
Overall design: Caco-2 cells were treated with a zinc chelator, N,N,N’,N’-tetrakis(2-pyridinylmethyl)-1,2-ethanediamine (TPEN) for four hours and total RNA was isolated and used for RNA sequencing.Less...",GSE135873
miR-573 rescues endothelial dysfunction during dengue infection under PPARγ regulation,PRJNA558370;,"We report that DENV2 infection of HUVEC results in differential regulation of miRNA expression. We have used the Illumina HI Seq technoogy to study the miRNA expression levels. We further elucidated the role of miR-573 in regulating endothelial permeability during DENV2 infection.
Overall design: Analysis of miRNA expression patterns in mock-infected and DENV2-infected HUVEC cellsLess...",GSE135311
Viral Mimicry by Endogenous Y-RNAs Contributes to Antiviral Immunity [DV-4],PRJNA556650;,"Pattern recognition receptors (PRRs) protect against host invasion by detecting specific molecular patterns found in pathogens and initiating an immune response. While microbial-derived PRR ligands have been extensively characterized, the contribution and relevance of endogenous ligands to PRR activation during viral infection remain overlooked. In this work, we characterize the landscape of endogenous ligands that engage RIG-I-like receptors upon infection by a positive-sense RNA virus, a negative-sense RNA virus or a retrovirus. We found that several endogenous RNAs transcribed by RNA polymerase 3 (Pol3), and in particular the Y-RNA family of small non-coding repeats, bind and activate RIG-I. We show that this recognition is dependent on Y-RNA mimicking viral secondary structure and its 5’-triphosphate extremity. Further, we found that HIV-1 infection triggers a VPR-dependent downregulation of RNA triphosphatase DUSP11 in vitro and in vivo, leading to an increase of Y-RNA 5’-triphosphorylation that enables their immunogenicity. Importantly, we show that altering DUSP11 expression is sufficient to induce a type-I interferon and T cell activation transcriptional program associated with HIV-1 infection. Overall, our work uncovers the critical contribution of endogenous RNAs ligands to antiviral immunity and demonstrates the role of this pathway in HIV-1 infection.
Overall design: for each experimental condition three biological replicates were performed each time. No data were excluded from analysis
HEK293 cells described in DOI: 10.7554/eLife.11275; Dengue virus 4 in doi: 10.1016/j.celrep.2018.06.047Less...",GSE134856
Homo sapiens,PRJNA552644,"Accumulating evidence demonstrates that the HERV expression was associated with a variety of cancers, autoimmune disorders and infectious diseases with exogenous viruses, such as HIV-1, Influenza A virus, EBV, HBV. Nevertheless, the molecular programs of HERV associated with DENV infected cell have not been defined. Here, we studied the transcriptomic profiles of HERV loci and host genes in human A549 cells with DENV-2 (strain TSV01) infection.Overall design: RNA-sequencing of mock and dengue virus infected A549 cell, and compare differenceLess...",
Flavivirus induces and antagonizes antiviral RNA interference in both mammals and mosquitoes,PRJNA550985;,"Mosquito-borne flaviviruses maintain life cycles in mammals and mosquitoes. RNA interference (RNAi) has been demonstrated as an anti-flavivirus mechanism in mosquitoes; however, whether and how flavivirus induces and antagonizes RNAi-mediated antiviral immunity in mammals remains unknown. Here we showed that NS2A of Dengue virus-2 (DENV2) act as a viral suppressor of RNAi (VSR). When NS2A-mediated RNAi suppression was disabled, the resulting mutant DENV2 induced Dicer-dependent production of abundant DENV2-derived siRNAs in differentiated mammalian cells. Importantly, VSR-disabled DENV2 showed severe replication defects in mosquito and mammalian cells, and mice, which were rescued by the deficiency of RNAi. Moreover, NS2As of multiple flaviviruses act as VSRs in vitro and during viral infection in both organisms. Overall, our findings demonstrate that antiviral RNAi can be induced by flavivirus, while flavivirus uses NS2A as bona fide VSR to evade RNAi in mammals and mosquitoes, highlighting the importance of RNAi in flaviviral vector-host life cycles.
Overall design: Small RNA profile of virus-infected cells.Less...",GSE133284
Molecular signatures of dengue virus-specific IL-10/IFN-γ co-producing CD4 T cells and their association with severe dengue disease,PRJNA547763;,"Dengue virus (DENV) infection is associated with a range of clinical manifestations, from self-limiting dengue fever (DF) to life-threatening dengue hemorrhagic fever (DHF) and dengue shock syndrome (DSS). Although DENV-specific CD4 T cells are capable of producing inflammatory cytokines and can acquire cytotoxic functions in previously DENV-exposed individuals, much less is known related to DENV-specific CD4 T cells during acute DENV infection and disease. In this study, we set out to characterize the immune signatures of DENV-specific CD4 T cells during acute infection and investigate whether DENV-specific CD4 T cell response differs between DF and DHF. Previous studies suggest that increased IL-10 level in the blood is associated with severe dengue disease. Here we show evidence of DENV-specific IL-10-producing CD4 T cells during acute DENV infection. More specifically, an IL-10+IFN-γ+ double positive (DP) CD4 T cell population was prominent in acute hospitalized DENV cases but disappeared at the convalescent stage. RNA-sequencing analysis revealed that these cells were associated with gene signatures that marginally overlapped with previously identified signatures of cytotoxic CD4 T cells and type 1 regulatory T (Tr1)-like cells. However, the majority of the genes differentially expressed by DP cells were not related to cytotoxic CD4 T cells or Tr1-like cells. These genes include IL-21, IL-22, CD86, CD109, and CCR1, which are involved in T cell activation, function, cytokine signaling, and migration. Notably, the magnitude of DP cell response was higher in DHF than DF, whereas the gene expression profile of DP cells was similar between DF and DHF. Finally, our data show that DENV-specific DP cells are largely homogeneous based on the expression of 31 selected markers. Overall, this study reveals unique phenotypes of virus-specific IL-10/IFN-γ co-producing CD4 cells and indicates that the quantity but not quality of these cells may be positively correlated with dengue disease severity.
Overall design: RNA-sequencing of sorted dengue virus epitopes-stimulated IL-10-IFN-γ-, IL-10+IFN-γ-, IL-10-IFN-γ+, and IL-10+IFN-γ+ CD4 T cells from cryopreserved PBMC of 10 dengue fever (DF) and 10 dengue hemorrhagic fever (DHF) patientsLess...",GSE132367
Homo sapiens,PRJNA526529,No description available,
Human Megakaryocytes Possess Intrinsic Anti-Viral Immunity through Regulated Induction of IFITM3,PRJNA517714,"Evolving evidence indicates that platelets and megakaryocytes (MKs) have unexpected activities in inflammation and infection; but whether viral infections upregulate biologically active, anti-viral immune genes in platelets and MKs is unknown. We examined anti-viral immune genes in these cells in dengue and influenza infections, viruses that are global public health threats. Using complementary biochemical, pharmacological, and genetic approaches, we examined the regulation and function of interferon induced transmembrane protein 3 (IFITM3), an anti-viral immune effector gene not previously studied in human platelets and MKs. IFITM3 was markedly upregulated in platelets isolated from patients during clinical influenza and dengue (DENV) infections. Lower IFITM3 expression in platelets correlated with illness severity and mortality in patients. Administering a live, attenuated DENV vaccine to healthy donors significantly increased platelet IFITM3 expression. Infecting human MKs with DENV selectively increased type I interferons (IFNs) and IFITM3. Overexpression of IFITM3 in MKs was sufficient to prevent DENV infection. In naturally-occurring, genetic loss-of-function studies MKs from healthy donors harboring a homozygous mutation in IFITM3 (rs12252-C, a common SNP in areas of the world where DENV is endemic) were significantly more susceptible to DENV infection. DENV-induced MK secretion of IFNs prevented infection of bystander MKs and hematopoietic stem cells (HSCs). Thus, viral infections upregulate IFITM3 in human platelets and MKs, and IFITM3 expression is associated with adverse clinical outcomes. These observations establish, for the first time, that human MKs possess anti-viral functions, preventing DENV infection of MKs and HSCs following local immune signaling.Less...",
Chronic Dengue Encephalitis in a Patient with Progressive Dementia,PRJNA507605;,"Dengue virus is the most common arbovirus worldwide and represents a significant public health concern. To date, chronic Dengue infections have not been previously reported. While investigating the etiology of central nervous system (CNS) disease in a patient presenting with progressive dementia, we elucidated a chronic dengue infection within the CNS. Comprehensive viral immune responses in both serum and cerebrospinal fluid (CSF) were profiled by a phage-display assay (VirScan). Enrichment of Dengue viral antibodies were detected in the CSF as compared to the serum. No virus was detected in serum or CSF, but post-mortem analysis confirmed Dengue virus in the brain by quantitative polymerase chain reaction (PCR), immunohistochemistry, RNAscope and sequencing. Dengue virus was detectable by PCR and sequencing from brain biopsy tissue collected 33 months ante-mortem, confirming a chronic infection. Comprehensive antibody profiling assays can aid in the diagnosis of encephalitis of unknown etiologies. Our findings suggest that Dengue virus infections may persist in the CNS and should be considered in patients with progressive dementia in endemic regions or with relevant travel history.
Overall design: Microbe profiles for 1 postmortem human cortex clinical sample were generated via deep sequencing using the Illumina NovaSeq6000_S4 system and reagents.Less...",GSE123125
"Molecular alterations induced by Yersinia pestis, dengue virus and Staphylococcus enterotoxin B under the background of battlefield-like stress (miRNA-Seq)",PRJNA482157;,"Background: Severe stress can have drastic and systemic effects with dire implications on the health and wellbeing of exposed individuals.  Particularly, the effect of stress on the immune response to infection is of interest because of its implications for vaccine efficacy and treatment strategy during stressful scenarios. Battlefield-like stress has previously been shown to cause an anergic state in the immune system that persists following exposure to a potent mitogen.
Methods: Genome-wide alterations of gene expression were characterized using leukocytes collected from (15 informed and consented, all male) U.S. Army Ranger cadets immediately before and after training followed by exposure to a representative group of pathogens Yersinia pestis, dengue virus, Staphylococcus enterotoxin B (SEB).  We employed experimental and computational approaches in identifying altered molecules, processes, pathways, and functional and regulatory networks mediating the host’s response towards battlefield-like stress, in assessing protective immunity status of the stressed host towards infection, and in identifying pathogen-induced biomarkers under severe stress background.
Results: We observed predicted inhibition of pathways significantly associated with lymphopoiesis, wound healing, inflammatory response, lymphocyte activation, apoptosis, and predicted activation of oxidative stress.  Using weighted correlation network analyses, we showed preservation of these pathways across infection plus stress combinations.  Regulatory networks comprising a common set of upstream regulators: transcription factors, microRNAs and post-translational regulators (kinases, phosphatases) may be drivers of molecular alterations leading compromised protective immunity.  Other sets of transcripts were persistently altered in both the pre- and post-stress conditions due to the host’s response to each pathogen forming pathogen-specific molecular signatures with a potential to distinguish infection from that of severe stress.
Conclusion: Our results suggest that severe battlefield-like stress alters molecular players implicated in the developments of hematopoietic stem cells probably leading to depletion of cellular and molecular repertoires of protective immunity, membrane trafficking of recycling endosomes and membrane translocation of the antigen processing mechanisms leading to suboptimal antigen processing and presentation, cell adhesion leading to impaired formation of productive immunological synapse,  and inhibited T-cell activation.  These factors may collectively be responsible for compromised protective immunity (infection susceptibility, delayed wound healing and poor vaccine response), and cellular anergy.
Overall design: Subjects (RASP cadets) were exposed to eight weeks of severe stress (RASP training stressors). Plasma was obtained from whole blood samples collected immediately before and after training. MicroRNA were isolated from plasma and sequenced.Less...",GSE117464
Dengue virus-specific CD8 T cell subsets are associated with specialized gene expression profiles and TCR repertoires,PRJNA480690;,"Accumulating evidence demonstrates that CD8 T cells contribute to protection from severe DENV disease and vaccine efficacy. Nevertheless, the molecular programs associated with DENV-specific CD8 T cell subsets have not been defined. Here, we studied the transcriptomic profiles of human DENV-specific CD8 T cells isolated after stimulation with DENV epitopes from donors that have been infected with DENV multiple times and should therefore associated with significant levels of adaptive immunity. DENV-specific CD8 T cells mainly consist of effector memory subsets, namely Tem and Temra which enact specific gene expression profiles upon stimulation with cognate antigens. DENV-specific CD8 T cell subsets in general, and Temra cells in particular, are fully activated and polyfunctional, yet associated with relatively narrow transcriptional responses and TCR repertoires. This study provides the first transcriptomic definition of DENV-specific activated human CD8 T cell subsets and defines a bench mark profile that vaccine-specific response could aim to reproduce.
Overall design: RNA-sequencing of sorted unstimulated and dengue virus epitopes-stimulated IFN-gamma+ CD8 Tem and Temra cells from cryopreserved PBMC of 6 subjects with secondary dengue infection.Less...",GSE116957
In vivo molecular signatures of severe dengue infection revealed by viscRNA-Seq,PRJNA479871;,"Dengue virus infection can result in severe symptoms including shock and hemorrhage, but an understanding of the molecular correlates of disease severity is lacking. Bulk transcriptomics on blood samples are difficult to interpret because the blood is composed of different cell types that may react differently to virus infection. Dengue virus RNA can be detected in human plasma, however identifying the cells carrying dengue virus through the bloodstream in vivo has proven challenging. Here we used our recently developed viscRNA-Seq approach to profile transcriptomes of thousands of single blood peripheral mononuclear cells from 6 human subjects with dengue fever and severe dengue, as well as to characterize the cell types associated with dengue virus in the human blood. We found that although no bulk transcriptome marker for severe dengue exists, the expression of MX2 in naive B cells, of CD163 in CD14+/CD16+ monocytes and of other genes in specific cell types is highly predictive for severe dengue. We detected virus-associated cells in the blood of two severe dengue patients with high viral load and discovered the majority of these to be B cells expressing germline IgM or IgD immunoglobulin chains and naive markers but also showing signs of activation and expression of CD69, CXCR4, and other surface receptors. In bystander B cells we detected signs of strong immune activation, parallel hypersomatic evolution and, in one severe degue subject, an anomalously large clone of highly mutated, IgG1 plasmablasts that could be reactive to dengue virus. This study presents a high-resolution molecular exploration into dengue virus infection in humans and can be generalized to any RNA virus.
Overall design: Blood cells from dengue virus infected human patients were subjected to virus-inclusive single cell RNA-Seq.Less...",GSE116672
Viral priming of innate antiviral signaling by the unfolded protein response,PRJNA474353,"The cellular response to a pathogen is critical in determining the outcome of the infection and, as a consequence, viruses deploy a variety of strategies to subdue the antiviral signalling in order to achieve a productive infection. Stress and innate responses are believed to synergise to contain virus replication efficiently. However, the kinetics of the different cellular responses to viral infection and their contribution to innate antiviral signalling has not been clearly established. Tick-borne encephalitis virus, which is a Flavivirus widely diffused in Central Europe, has been shown to efficiently delay the interferon response. Transcriptome analysis of tick-borne encephalitis virus infected cells during the lag phase of interferon activation showed that, in addition to interferon and interferon-stimulated genes (ISG), the genes involved in the unfolded protein response (UPR) were modulated. Intriguingly, this response was induced before interferon transcription. Infection in conditions of UPR priming led to early activation of IRF3, interferon and ISGs transcription, stress granules formation and inhibition of viral replication. This antiviral response in turn was dependent on the IRE1 arm of the UPR and on RIG-I, but was independent of the canonical interferon secondary signalling. Other members of the Flavivirus family such as West Nile virus, Dengue virus and Zika virus were also sensitive to UPR priming. These results demonstrate that the UPR is not only a physiological reaction of the cell to infection, but also favors the induction of the innate antiviral response. For the first time the synergy of the UPR with innate signalling is explained at the molecular level for a viral infection.Less...",
